0000..007F|0000|基本拉丁|Basic Latin
0080..00FF|0008|拉丁一补充|Latin-1 Supplement
0100..017F|0010|拉丁扩充甲|Latin Extended-A
0180..024F|0018|拉丁扩充乙|Latin Extended-B
0250..02AF|0025|国际音标扩充|IPA Extensions
02B0..02FF|002B|有距修饰字|Spacing Modifier Letters
0300..036F|0030|结合变音标记|Combining Diacritical Marks
0370..03FF|0037|希腊及科普特|Ελληνικά|Greek and Coptic
0400..04FF|0040|西里尔|Кириллица|Cyrillic
0500..052F|0050|西里尔补充|Cyrillic Supplement
0530..058F|0053|亚美尼亚|հայերեն|Armenian
0590..05FF|0059|希伯来|עברית|Hebrew
0600..06FF|0060|阿拉伯|العربية|Arabic
0700..074F|0070|叙利亚|ܣܘܪܝܝܐ|Syriac
0750..077F|0075|阿拉伯补充|Arabic Supplement
0780..07BF|0078|塔纳|ތާނަ|Thaana
07C0..07FF|007C|恩科(西非书面)|ߒߞߏ|N’Ko
0800..083F|0080|撒马利亚|ࠔࠌࠓࠉࠌ|Samaritan
0840..085F|0084|曼德恩|ࡓࡀࡈࡍࡀ|Mandaic
0860..086F|0086|叙利亚补充|Syriac Supplement
0870..089F|0087|阿拉伯扩充乙|Arabic Extended-B
08A0..08FF|008A|阿拉伯扩充甲|Arabic Extended-A
0900..097F|0090|天城体|देवनागरी|Devanagari
0980..09FF|0098|孟加拉|বাংলা|Bengali
0A00..0A7F|00A0|果鲁穆奇|ਪੰਜਾਬੀ|Gurmukhi
0A80..0AFF|00A8|古吉拉特|ગુજરાતી|Gujarati
0B00..0B7F|00B0|奥里亚|ଓଡ଼ିଆ|Oriya
0B80..0BFF|00B8|泰米尔|தமிழ்|Tamil
0C00..0C7F|00C0|泰卢固|తెలుగు|Telugu
0C80..0CFF|00C8|卡纳达|ಕನ್ನಡ|Kannada
0D00..0D7F|00D0|马拉雅拉姆|മലയാളം|Malayalam
0D80..0DFF|00D8|僧伽罗|සිංහල|Sinhala
0E00..0E7F|00E0|泰文|ไทย|Thai
0E80..0EFF|00E8|老挝|ລາວ|Lao
0F00..0FFF|00F0|藏文|བོད་སྐད་|Tibetan
1000..109F|0100|缅文|ဗမာ|Myanmar
10A0..10FF|010A|格鲁吉亚|ქართული|Georgian
1100..11FF|0110|谚文字母|Hangul Jamo
1200..137F|0120|埃塞|ግዕዝ|Ethiopic
1380..139F|0138|埃塞补充|Ethiopic Supplement
13A0..13FF|013A|切罗基|ᏣᎳᎩ|Cherokee
1400..167F|0140|统一加拿大土著音节|Unified Canadian Aboriginal Syllabics
1680..169F|0168|欧甘|᚛ᚑᚌᚐᚋ᚜|Ogham
16A0..16FF|016A|卢恩|ᚱᚢᚾᛟ|Runic
1700..171F|0170|他加禄|ᜊᜌ᜔ᜊᜌᜒᜈ᜔|Tagalog
1720..173F|0172|哈努努奥|ᜱᜨᜳᜨᜳᜢ|Hanunoo
1740..175F|0174|布希德|ᝊᝓᝑᝒ|Buhid
1760..177F|0176|蒂亚格班瓦|ᝦᝤᝪᝨᝯ|Tagbanwa
1780..17FF|0178|高棉|ខ្មែរ|Khmer
1800..18AF|0180|蒙文|ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ|Mongolian
